"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"BBS2","16","Q9BXC9","RNA polymerase II repressing transcription factor binding","R-HSA-5620922;",NULL,"IPR016616;IPR029333;IPR029429;IPR029430;IPR015943;IPR017986;","PF14782;PF14783;PF14781;","BBS4;BBS5;EXOC7;BBS7;BBS9;ALDOB;CCT2;TTC8;PAX2;HSCB;LZTFL1;BBIP1;MKKS;MDFI;EEF1A1;ACY1;EPAS1;FLOT1;BBS12;ARL6;PCM1;BBS1;RBPMS;KRT18;BHMT;PSME3;FHOD1;","MDFI;EEF1A1;ENDOV;EPAS1;EXOC7;GLIS2;ALDOB;PAX2;LZTFL1;HSCB;RBPMS;KRT18;LPCAT1;BHMT;PSME3;THBS3;FHOD1;","ALDOB;BBS4;BBIP1;BBS1;BBS7;BBS4;BBS1;BBS7;LZTFL1;BBS9;BBS7;FLOT1;ARL6;BBS7;BBS4;BBS7;BBS9;BBS4;BBS7;TTC8;BBS1;RBPMS;BBS9;BBS4;TTC8;BBS7;BBS5;BBS1;BBS1;BBS7;BBS9;BBS7;BBS1;BBS5;BBS9;BBS4;TTC8;PSME3;MKKS;EXOC7;FHOD1;BBS4;ARL6;BBS1;BBS7;TTC8;BBS4;BBS9;EEF1A1;BBS7;BBS9;CCT2;BBS1;PAX2;BBS5;BBS1;CCT2;BBS10;TTC8;CCT3;BBS7;BBS4;BBS9;CCT4;TCP1;MKKS;MDFI;KRT18;BBS7;BBS1;BBS9;BBS4;BBS10;MKKS;ARL6;BBS9;BBS4;TTC8;ACY1;BBS7;MKKS;BBS5;BBS1;BBS12;BBS1;BBS5;BBS4;BBS7;HSCB;EPAS1;BBS4;BBS7;TTC8;BBS1;BHMT;BBS5;MKKS;BBS12;BBS10;CCDC28B;GLIS2;ENDOV;LZTFL1;LPCAT1;THBS3","556.34","0.18","0.1","N","amygdala;dorsal root ganglion;superior cervical ganglion;occipital lobe;hypothalamus;adrenal cortex;prefrontal cortex;globus pallidus;ciliary ganglion;caudate nucleus;trigeminal ganglion;cingulate cortex;","2017-06-22 00:00:00"
"BBS4","15","Q96RK4","alpha-tubulin binding ; beta-tubulin binding ; dynactin binding ; microtubule motor activity ; RNA polymerase II repressing transcription factor binding","R-HSA-5620922;",NULL,"IPR028786;IPR013026;IPR011990;IPR019734;","PF13181;","BBS5;EXOC7;BBS7;BBS9;ALDOB;TTC8;PAX2;HSCB;RAB3IP;OFD1;CALCA;EIF3A;BBIP1;KIF7;CEP290;MYOG;ACTB;EEF1A1;ACY1;EPAS1;FLOT1;BBS12;ARL6;PCM1;DCTN1;BBS1;BBS2;CEP162;KRT18;BHMT;FHOD1;","ACTB;EEF1A1;EPAS1;EXOC7;ALDOB;PAX2;PCM1;LZTFL1;HSCB;DCTN1;OFD1;CUL3;CALCA;EIF3A;CEP162;KRT18;KIF7;BHMT;MYOG;FHOD1;","BBS12;BBIP1;BBS2;BBS1;BBS7;MYOG;BBS2;BBS1;BBS7;BBIP1;ARL6;BBS2;BBS7;BBS9;BBS7;TTC8;BBS2;BBS1;ALDOB;ACTB;HSCB;FLOT1;BBS9;TTC8;BBS7;BBS5;BBS1;BBS2;BBS7;BBS2;BBS1;BBS5;BBS9;TTC8;DCTN1;ARL6;BBS1;BBS2;BBS7;BBS2;TTC8;BBS9;RAB3IP;EEF1A1;EXOC7;FHOD1;BBIP1;EPAS1;EIF3A;BBS1;BBS5;BBS2;BBS1;CCT2;BBS10;TTC8;CCT3;BBS7;BBS9;CCT4;TCP1;MKKS;KRT18;ACY1;CEP290;PAX2;BBS7;BBS2;BBS1;BBS9;ARL6;BBS9;TTC8;BBS2;CALCA;BHMT;BBS1;BBS2;BBS1;BBS5;BBS7;BBS7;TTC8;BBS2;BBS1;BBS5;BBS9;CCDC28B;BBS7;PCM1;CUL3;LZTFL1","2325.46","0.13","0.33","E","medulla oblongata;testis - seminiferous tubule;testis;","2017-06-22 00:00:00"
"BBS5","2","Q8N3I7","phosphatidylinositol-3-phosphate binding ; RNA polymerase II repressing transcription factor binding","R-HSA-5620922;",NULL,"IPR006606;IPR030804;IPR014003;IPR011993;","PF07289;","BBS1;BBS2;BBS4;BBS7;BBS9;KLC3;TTC8;CRADD;","KLC3;LZTFL1;CRADD;","BBS9;CRADD;BBS9;BBS4;TTC8;BBS7;BBS1;BBS2;BBS7;BBS2;BBS1;BBS9;BBS4;TTC8;KLC3;BBS2;BBS1;CCT2;BBS10;TTC8;CCT3;BBS7;BBS4;BBS9;CCT4;TCP1;MKKS;BBS1;BBS2;BBS2;BBS1;BBS4;BBS7;BBS4;BBS2;TTC8;BBS1;BBS7;CCDC28B;LZTFL1",NULL,"0.37","0.22",NULL,"testis - interstitial;testis - seminiferous tubule;testis;trigeminal ganglion;","2017-06-22 00:00:00"
"BBS7","4","Q8IWZ6","RNA polymerase II repressing transcription factor binding","R-HSA-5620922;",NULL,"IPR016575;IPR015943;IPR017986;",,"BBS4;BBS5;EXOC7;BBS7;BBS9;ALDOB;CCT2;TTC8;CCT3;PAX2;LZTFL1;BBIP1;MKKS;NUDC;TCP1;ACY1;FLOT1;BBS12;ARL6;BBS10;BBS1;BBS2;KRT18;CCT4;JUN;FHOD1;","DDX39A;ALDOB;KLK5;PAX2;LZTFL1;SCGN;KRT18;JUN;PLEKHO2;THBS3;FHOD1;CCDC8;DSCC1;","BBS4;BBIP1;BBS2;BBS1;BBS4;BBS2;BBS1;BBS1;LZTFL1;BBS9;BBS2;ACY1;KRT18;ARL6;BBS2;BBS4;JUN;FLOT1;BBS2;BBS9;BBS4;TTC8;BBS2;BBS1;BBS12;MKKS;BBS9;BBS4;TTC8;BBS5;BBS1;BBS2;BBS10;BBS12;MKKS;BBS2;BBS1;PAX2;BBS2;BBS1;BBS5;BBS9;BBS4;TTC8;BBS4;ARL6;BBS1;BBS2;CCT5;TCP1;MKKS;CCT2;CCT8;CCT3;BBS12;CCT4;BBS2;BBS9;BBS10;BBS5;BBS2;BBS1;CCT2;BBS10;TTC8;CCT3;BBS4;BBS9;CCT4;TCP1;MKKS;TCP1;MKKS;BBS10;CCT2;ALDOB;NUDC;BBS2;BBS1;BBS9;BBS4;CCT2;BBS2;MKKS;TCP1;CCT3;CCT2;BBS2;BBS1;BBS5;BBS4;BBS12;BBS4;TTC8;BBS2;BBS1;EXOC7;CCT2;TCP1;MKKS;FHOD1;CCT3;CCT2;BBS10;BBS12;MKKS;TCP1;TTC8;TCP1;CCT3;BBS4;BBS5;BBS9;CCT4;CCDC28B;MKKS;CCDC8;SCGN;KLK5;LZTFL1;DSCC1;DDX39A;PLEKHO2;THBS3","79.19","0.18","0.18",NULL,NULL,"2017-06-22 00:00:00"
"BBS9","7","Q3SYG4",,"R-HSA-5620922;",NULL,"IPR028074;IPR028073;IPR026511;","PF14728;PF14727;","BBS1;L1TD1;BBS2;BBS4;BBS5;BBS7;PTBP3;BBS12;TTC8;ARL6;LZTFL1;BBS10;TUBA1C;","L1TD1;LZTFL1;TUBA1C;","BBS5;LZTFL1;BBS7;BBS2;BBS4;BBS7;TTC8;BBS2;BBS1;LZTFL1;BBS4;TTC8;BBS7;BBS5;BBS1;BBS2;BBS2;BBS12;BBS7;BBS2;BBS1;BBS5;BBS4;TTC8;BBS1;BBS2;TTC8;BBS4;BBS7;BBS2;BBS10;BBS5;BBS2;BBS1;CCT2;BBS10;TTC8;CCT3;BBS7;BBS4;CCT4;TCP1;MKKS;BBS7;BBS2;BBS1;BBS4;TTC8;ARL6;BBS4;TTC8;BBS2;BBS4;BBS7","1873.25","0.41","0.2",NULL,"dorsal root ganglion;testis - interstitial;superior cervical ganglion;medulla oblongata;testis - seminiferous tubule;testis;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"BMP15","X","O95972","cytokine activity ; growth factor activity ; transforming growth factor beta receptor binding","R-HSA-381426;R-HSA-8957275;",NULL,"IPR015923;IPR029034;IPR001839;IPR015615;IPR017948;","PF00019;",NULL,"DCAF6;AMD1;PPP2R2D;HECTD1;","BMPR1B;GDF9;AMD1;HECTD1;DCAF6;PPP2R2D","1548.61","0.41","0.19","N",NULL,"2017-06-22 00:00:00"
"BMPR2","2","Q13873","activin receptor activity, type II ; ATP binding ; BMP binding ; BMP receptor activity ; growth factor binding ; metal ion binding ; signal transducer, downstream of receptor, with serine/threonine kinase activity","R-HSA-201451;","hsa04060;hsa04350","IPR000472;IPR015770;IPR011009;IPR000719;IPR017441;IPR000333;","PF01064;PF00069;","GDF5;PYCARD;MAPK8;PRKG1;","BMP10;GDF2;CAV1;XIAP;GDF6;GDF5;FST;BMPR2;FHL2;TRIB3;GCGR;ACVR1B;PYCARD;FRS3;GDF9;BMP4;CES3;BMP2;TSR1;SMAD7;CRYAB;LIMK1;SMAD6;TGFBR1;PPP1CC;MAPK8;BMPR1B;BMP7;BMPR1A;ACVR1;BMP6;","BMPR1A;BMP2;CD44;SRC;GDF5;MAPK8;MYO1C;NAA15;CEP131;PYCARD;TMPRSS15;LEMD3;TPM4;IL6ST;DRC7;FSTL5;PSTPIP1;LIG3;MCM4;FAM184A;ERVK-19;TSHZ2;ARMC2;INPP4B;NUP107;DNAJC28;PRKG1;BMP4;BMP7;TOPBP1;BMP6;CRYAB;MOS;SULT1E1;PMPCA;FOXL1;CCDC89;OC90;NBEA;MERTK;FRS3;HNRNPR;PRKCB;CES1;LMX1A;GDF6;TRPC1;LSM10;PDZRN3;ARSA;ACTR8;NOP56;TWF1;DYNLT1;LSP1;LIMK1;CTBP1;TUBB4A;RABGGTA;GDF9;BMPR1B;TUBB;C4BPA;MAP3K8;CES3;GCGR;TGFBR1;ACVR1B;TSR1;ACVR1;FHL2;XIAP;FST;TRIB3;SMAD6;SMAD7;PPP1CC;CAV1;GDF2;BMP10;PYCARD","121.17","0.85","0.5","E",NULL,"2017-06-22 00:00:00"
"C10orf2","10","Q96RR1","5-3 DNA helicase activity ; ATP binding ; protease binding ; single-stranded DNA binding","R-HSA-2151201;",NULL,"IPR007694;IPR027417;IPR034154;",,"SMAD9;","SPECC1L;BMI1;CLTA;SMAD9;TRA2A;TRIM27;RAD9A;TPM1;RBMX;ACTL8;CHD9;YWHAH;DCAF8;AKTIP;SQSTM1;HEXIM1;ARPC5L;NCOA5;ICT1;CPOX;EPB41L5;LYSMD2;PHLDB2;B4GALT7;ZBTB1;","AKTIP;PARS2;HADHB;CLPB;NBR1;NDUFS2;LAGE3;NEFM;KRT4;GBAS;CDC37;DIP2B;PLEC;BLOC1S5;KEAP1;COX11;RAD54L2;INA;MICU2;MARK2;CRNN;STK3;ASPH;ENPP1;TCEAL2;VIM;GLG1;PRKCI;MICU1;STK4;HLA-H;NIPSNAP1;CHEK1;HACD3;EPDR1;ABHD10;MRPL38;GTF3C3;ANXA1;TMX1;MRPS9;TRMT61B;YME1L1;OSBPL8;CEP78;KRT73;HADHA;CDC45;GTF3C1;CTNND1;NSUN4;GPC4;TMEM160;SARS2;NDUFA5;SQSTM1;EPPK1;TMLHE;SAV1;LLGL1;EMILIN3;ATRX;XRCC5;COPA;HIST1H4A;CTCF;CCAR2;NCOA5;FOXC1;DAXX;MGA;SRRM2;SATB1;NBN;YWHAH;MAP1B;MKI67;CBX5;HUWE1;BAZ2A;SDC2;C1QBP;HIRA;UBN2;SAFB2;LAS1L;UCHL1;SMARCA5;ZNF646;SAFB;PHF14;PARP2;DNAJC7;LIG3;YWHAG;NUMA1;SENP3;MCM4;ATP6V1B2;VPRBP;HIST1H1E;BAZ1B;U2AF1;RFX1;RBBP7;PYHIN1;DNAJC9;RAI1;GTPBP4;TFAP2A;HOXA13;RAD50;UBN1;BAZ1A;DDB1;GPC4;PHIP;ZNF148;ZMYM2;COL18A1;TMPO;CABIN1;AGRN;RREB1;HIST1H1C;PPM1G;SUPT5H;ATIC;NSUN2;TBP;CHD4;ZMYM4;RSF1;HMBOX1;RSL1D1;H2AFY2;TCF20;H1FX;LAMC1;NR2F2;TTF2;SDC1;LAMB1;C5orf24;TEX10;SATB2;NR2C2;MECP2;PARP1;PELP1;USP7;ZNF428;MBD1;ZNF384;HTATSF1;ZNF711;MCM2;XRCC6;HSPG2;PGK1;RNH1;SMARCA1;RCN2;SUPT16H;MDC1;TFAM;SUMO2;SMAD9;SQSTM1;ICT1;ZBTB1;BMI1;TRA2A;HEXIM1;RBMX","378.82",NULL,"0.15",NULL,"dorsal root ganglion;","2017-06-22 00:00:00"
"C2orf71","2","A6NGG8",,,NULL,"IPR029352;","PF15449;",NULL,NULL,NULL,"7852.62",NULL,NULL,NULL,NULL,"2017-06-22 00:00:00"
"CAV3","3","P56539","alpha-tubulin binding ; calcium channel regulator activity ; connexin binding ; ion channel binding ; nitric-oxide synthase binding ; potassium channel inhibitor activity ; protein complex binding ; protein complex scaffold ; protein C-terminus binding ; sodium channel regulator activity","R-HSA-445355;","hsa04510","IPR031091;IPR001612;IPR018361;","PF01146;","PTGES3;PCBP1;PRKCDBP;","PTGES3;KCNMA1;EGFR;SLC8A1;JPH2;DAG1;PFKM;ADRB2;SENP1;DYSF;PCBP1;PDGFRA;PDGFRB;NEDD4L;KCNH2;SCN5A;","PCBP1;PTGES3;PRKCDBP;SLC8A1;PFKM;NOS1;EGFR;DAG1;JPH2;DYSF;SLC22A11;INSR;PDGFRB;PDGFRA;ADRB2;KCNH2;NEDD4L;SCN5A;KCNMA1;SENP1","353.17","0.38","0.56","N","superior cervical ganglion;globus pallidus;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"CCDC28B","1","Q9BUN5",,,NULL,"IPR025271;","PF13270;","ATRIP;","APP;ATRIP;","ATRIP;BBS2;MKKS;TTC8;BBS4;BBS1;BBS5;BBS7;APP","340.91","0.17","0.18",NULL,NULL,"2017-06-22 00:00:00"
